#PictureHD,PictureThumbNail,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,FligthSpeed,Battery,
http://data.flightstream.io/sg/0002/P3030258.JPG,http://data.flightstream.io/sg/0002/tn/P3030258.JPG,1.40027,103.897418,84.37,60.71,1.49,-1.55,1,72%,
http://data.flightstream.io/sg/0002/P3030259.JPG,http://data.flightstream.io/sg/0002/tn/P3030259.JPG,1.400283,103.897418,84.15,60.33,1.15,-0.79,1,72%,
http://data.flightstream.io/sg/0002/P3030260.JPG,http://data.flightstream.io/sg/0002/tn/P3030260.JPG,1.400293,103.897422,84.3,60.53,-0.82,-1.54,1,72%,
http://data.flightstream.io/sg/0002/P3030261.JPG,http://data.flightstream.io/sg/0002/tn/P3030261.JPG,1.400292,103.89738,84.16,60.49,2.91,0.12,1,71%,
http://data.flightstream.io/sg/0002/P3030262.JPG,http://data.flightstream.io/sg/0002/tn/P3030262.JPG,1.400295,103.897392,83.83,60.19,-1.26,-1.21,2,71%,
http://data.flightstream.io/sg/0002/P3030263.JPG,http://data.flightstream.io/sg/0002/tn/P3030263.JPG,1.4003,103.897385,84.11,60.52,1.69,-0.4,2,71%,
http://data.flightstream.io/sg/0002/P3030264.JPG,http://data.flightstream.io/sg/0002/tn/P3030264.JPG,1.400305,103.897379,84.13,60.51,2.45,-0.04,2,70%,
http://data.flightstream.io/sg/0002/P3030265.JPG,http://data.flightstream.io/sg/0002/tn/P3030265.JPG,1.400309,103.897374,84,60.39,2.49,0.33,2,70%,
http://data.flightstream.io/sg/0002/P3030266.JPG,http://data.flightstream.io/sg/0002/tn/P3030266.JPG,1.400301,103.897366,83.79,60.46,-1.13,-2.84,2,70%,
http://data.flightstream.io/sg/0002/P3030267.JPG,http://data.flightstream.io/sg/0002/tn/P3030267.JPG,1.400319,103.897353,83.58,60.32,1.12,0.35,2,70%,
http://data.flightstream.io/sg/0002/P3030268.JPG,http://data.flightstream.io/sg/0002/tn/P3030268.JPG,1.400336,103.897349,83.8,60.46,-0.04,0.19,2,69%,
http://data.flightstream.io/sg/0002/P3030269.JPG,http://data.flightstream.io/sg/0002/tn/P3030269.JPG,1.400332,103.897342,83.69,60.41,-2.48,-2.2,2,69%,
http://data.flightstream.io/sg/0002/P3030270.JPG,http://data.flightstream.io/sg/0002/tn/P3030270.JPG,1.400344,103.897333,83.64,60.59,0.29,-0.99,2,69%,
http://data.flightstream.io/sg/0002/P3030271.JPG,http://data.flightstream.io/sg/0002/tn/P3030271.JPG,1.400358,103.897324,83.61,60.34,-1.61,-0.74,2,69%,
http://data.flightstream.io/sg/0002/P3030272.JPG,http://data.flightstream.io/sg/0002/tn/P3030272.JPG,1.400376,103.897313,83.7,60.53,-0.34,-0.54,2,68%,
http://data.flightstream.io/sg/0002/P3030273.JPG,http://data.flightstream.io/sg/0002/tn/P3030273.JPG,1.400392,103.897302,83.54,60.43,-3.05,-3.21,2,68%,
http://data.flightstream.io/sg/0002/P3030274.JPG,http://data.flightstream.io/sg/0002/tn/P3030274.JPG,1.400401,103.897312,83.63,60.43,-2.87,1.21,1,68%,
http://data.flightstream.io/sg/0002/P3030275.JPG,http://data.flightstream.io/sg/0002/tn/P3030275.JPG,1.400406,103.897313,83.52,60.52,-1.62,0.42,2,65%,
http://data.flightstream.io/sg/0002/P3030276.JPG,http://data.flightstream.io/sg/0002/tn/P3030276.JPG,1.400411,103.897304,83.48,60.38,-1.71,-0.52,1,65%,
